attribute,level,level_code,coefficient,std_error,p_value,conf_int_lower,conf_int_upper,pp_effect,significance,abs_effect
Pricing,School pays (free for families),school_pays,1.3599032373188404,0.15222598173142637,4.1292499802056056e-19,1.0615457956139926,1.6582606790236882,28.91746138057284,***,28.91746138057284
Pricing,Free trial + $4.99/month,pricing_4.99,0.7575567579281819,0.14026357960860383,6.628843385926188e-08,0.4826451935526516,1.032468322303712,16.108953703331746,***,16.108953703331746
Pricing,Free trial + $7.99/month,pricing_7.99,0.5236546773575155,0.1363717303454011,0.0001230812372834224,0.25637099737112135,0.7909383573439096,11.135177484463874,***,11.135177484463874
Tutor,Female AI tutor,female_tutor,0.35835121375977447,0.06951298641818093,2.5340187428720775e-07,0.22210826392231792,0.494594163597231,7.6201064165494605,***,7.6201064165494605
Pricing,Free trial + $9.99/month,pricing_9.99,0.3221547318837233,0.14244607165539347,0.023722694027683393,0.04296556169994026,0.6013439020675063,6.850411677953949,*,6.850411677953949
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,hero_astronaut,0.3102983089672046,0.06936281511902387,7.693006698690709e-06,0.17434968946760748,0.44624692846680175,6.598292525361785,***,6.598292525361785
Storytelling,"Space rescue story: ""Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.""",space_rescue_story,0.28746612355708084,0.06954867349745569,3.5757823966254876e-05,0.15115322832953232,0.42377901878462937,6.1127808935687264,***,6.1127808935687264
Color_palette,Friendly & warm (coral / lavender / peach),friendly_colors,0.07720997157314624,0.0690213916389815,0.26329448105056774,-0.058069470202091494,0.21248941334838398,1.6418200279922597,n.s.,1.6418200279922597
Message_failure_,"That didn't work, but mistakes are how scientists learn. Let's try another design.",supportive_message,0.06186250993210966,0.06902184207067052,0.3701062293995133,-0.07341781467301607,0.1971428345372354,1.3154661984583988,n.s.,1.3154661984583988
Message_success_,Great job — your effort and persistence helped you solve this!,growth_message,0.007319125974864835,0.06880583374175243,0.9152859183147432,-0.12753783008522077,0.14217608203495044,0.15563647244122134,n.s.,0.15563647244122134
